now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
1146,0.00,0.00,0.00,0,1.641,1.656,-0.244,-0.099,-0.135,0.987,41.32,1173.00,685.00,-882.00,3102.0000
1279,0.00,0.00,0.00,0,1.611,1.664,-0.221,-0.097,-0.127,0.994,41.31,1193.00,680.00,-905.00,3101.0000
1411,0.00,0.00,0.00,0,1.611,1.687,-0.237,-0.094,-0.128,0.992,41.31,1176.00,685.00,-882.00,3099.0000
1544,0.00,0.00,0.00,0,1.626,1.679,-0.183,-0.096,-0.133,0.993,41.30,1186.00,680.00,-905.00,3098.0000
1672,0.00,0.00,0.00,0,1.565,1.656,-0.206,-0.098,-0.131,0.991,41.30,1186.00,675.00,-882.00,3098.0000
1709,0.00,0.00,0.00,0,1.649,1.580,-0.237,-0.094,-0.127,0.985,41.31,1191.00,685.00,-895.00,3095.0000
1735,0.00,0.00,0.00,0,1.687,1.634,-0.221,-0.099,-0.135,0.992,41.31,1181.00,687.00,-892.00,3099.0000
1760,0.00,0.00,0.00,0,1.664,1.641,-0.237,-0.100,-0.132,0.997,41.31,1188.00,685.00,-892.00,3102.0000
1786,0.00,0.00,0.00,0,1.634,1.641,-0.237,-0.097,-0.134,0.994,41.32,1183.00,682.00,-895.00,3099.0000
1812,0.00,0.00,0.00,0,1.649,1.565,-0.252,-0.099,-0.130,0.990,41.32,1200.00,680.00,-887.00,3099.0000
1843,0.00,0.00,0.00,0,1.618,1.649,-0.267,-0.094,-0.131,0.990,41.31,1193.00,685.00,-887.00,3102.0000
1868,0.00,0.00,0.00,0,1.634,1.672,-0.237,-0.099,-0.134,0.994,41.31,1188.00,682.00,-910.00,3100.0000
1894,0.00,0.00,0.00,0,1.656,1.649,-0.267,-0.099,-0.128,0.993,41.32,1200.00,672.00,-877.00,3100.0000
1920,0.00,0.00,0.00,0,1.656,1.618,-0.282,-0.096,-0.135,0.994,41.31,1193.00,690.00,-900.00,3098.0000
