now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
1531,21.66,53.78,22.39,102653,19.504,9.359,-43.992,-0.040,-0.385,1.007,40.15,1431.00,566.00,-802.00,3087.0000
1608,21.72,53.69,22.39,102653,3.305,20.061,-30.603,-0.123,-0.394,0.914,40.15,1426.00,573.00,-805.00,3083.0000
1683,21.77,53.65,22.39,102654,-20.534,36.710,-59.595,-0.072,-0.352,0.750,40.06,1433.00,595.00,-777.00,3085.0000
1758,21.80,53.60,22.39,102654,15.229,30.565,-43.489,-0.108,-0.280,0.711,40.06,1385.00,612.00,-777.00,3085.0000
1840,21.82,53.57,22.40,102651,1.107,27.137,-55.740,-0.071,-0.293,0.858,40.25,1383.00,620.00,-782.00,3086.0000
1915,21.84,53.49,22.40,102651,13.771,29.061,-28.076,-0.051,-0.366,0.869,40.01,1330.00,621.00,-802.00,3083.0000
1986,21.86,53.47,22.40,102651,40.802,13.076,-2.458,-0.109,-0.384,1.083,39.92,1287.00,615.00,-850.00,3085.0000
2057,21.87,53.45,22.40,102651,-0.901,9.092,-13.786,-0.264,-0.334,1.223,40.01,1306.00,626.00,-802.00,3085.0000
2128,21.88,53.43,22.40,102653,-20.947,-0.542,-33.771,-0.198,-0.235,1.016,40.01,1301.00,665.00,-790.00,3071.0000
2204,21.88,53.41,22.40,102653,-25.160,-14.275,-11.481,-0.146,-0.464,0.963,40.15,1325.00,682.00,-760.00,3086.0000
2275,21.89,53.38,22.40,102652,10.122,3.069,14.901,-0.263,-0.494,0.940,40.15,1311.00,680.00,-765.00,3087.0000
2346,21.88,53.35,22.40,102652,21.870,-0.489,3.748,-0.109,-0.331,1.004,40.01,1306.00,690.00,-775.00,3082.0000
2417,21.90,53.38,22.40,102651,-22.427,-13.145,-3.176,-0.096,-0.260,0.905,40.44,1325.00,716.00,-735.00,3085.0000
2488,21.89,53.36,22.40,102651,1.939,-28.679,21.939,-0.081,-0.195,1.006,39.92,1330.00,757.00,-737.00,3086.0000
2564,21.90,53.36,22.39,102653,21.061,-58.053,46.679,-0.190,-0.246,0.915,39.92,1321.00,765.00,-727.00,3087.0000
2635,21.91,53.31,22.39,102653,45.107,-44.137,46.893,-0.269,-0.241,1.124,40.25,1270.00,791.00,-745.00,3083.0000
